Company,Warehouse Address,State,Source,Type,Latitude,Longitude
Medline Industries,"5701 Promontory Pkwy, Tracy, CA 95377",California,,Potential,37.734764,-121.508836
MEDLINE C47 Perryville Distribution Center,"239 Belvidere Rd, Perryville, MD 21903",Maryland,,Potential,39.587135,-76.021444
Medline Industries Inc,"1062, Old Dixie Hwy, Auburndale, FL 33823",Florida,,Potential,28.075484,-81.828573
Medline Industries,"1960 Miro Way, Rialto, CA 92376",California,,Potential,34.126885,-117.411959
Medline Industries,"1401 N Universal Ave, Kansas City, MO 64120",Missouri,,Potential,39.132496,-94.504189
Medline Industries C37,"5000 Premier Pkwy STE 100, St Peters, MO 63376",Missouri,,Potential,38.808357,-90.580177
Medline Industries,"494 State Route 416, Montgomery, NY 12549",New York,,Potential,41.502053,-74.251074
Medline Distribution Center,"917 E Powell Dr, Lincolnton, NC 28092",North Carolina,,Potential,35.533828,-81.214293
Medline Industries Inc,"8001 SW 47th St, Oklahoma City, OK 73179",Oklahoma,,Potential,35.41935,-97.655613
Medline,"1900 Meadowville Technology Pkwy, Chester, VA 23836",Virginia,,Potential,37.361033,-77.340613
"Medline Industries, LP","2100 Industrial Park Rd, Hammond, LA 70401",Louisiana,,Potential,30.53242,-90.40446
Medline industries,"81 Campanelli Dr., Uxbridge, MA 01569",Massachusetts,,Potential,42.059266,-71.661349
Medline,"42500 Winchester Rd, Temecula, CA 92590",California,,Potential,33.514596,-117.186238
Medline Industries Inc,"9101 Riverside Pkwy, Lithia Springs, GA 30122",Georgia,,Potential,33.734718,-84.59323
Medline Industries Distribution Center,"21111 E 36th Dr, Aurora, CO 80011",Colorado,,Potential,39.767146,-104.743275
Medline Industries,"1040 Enterprise Pkwy, West Jefferson, OH 43162",Ohio,,Potential,39.935825,-83.323453
Medline Industries Inc,"251 Hilton Dr, Jeffersonville, IN 47130",Indiana,,Potential,38.373649,-85.67381
Medline Industries,"13115 Brockton Ln N, Rogers, MN 55374",Minnesota,,Potential,45.191964,-93.529772
Medline distribution center,"5511 W Ten Rd, Mebane, NC 27302",North Carolina,,Potential,36.073196,-79.211704
Medline Industries,"735 County Rd 4 E, Prattville, AL 36067",Alabama,,Potential,32.424018,-86.4461
Medline Industries,"3446 US-51, Southaven, MS 38672",Mississippi,,Potential,34.910146,-89.997419
"Medline Industries, Inc.","60 Athletes Way N, Mt. Juliet, TN 37122",Tennessee,,Potential,36.187035,-86.479962
Medline Industries Inc,"1710 S Lakeside Dr, Waukegan, IL 60085",Illinois,,Potential,42.326541,-87.886311
Medline - Dynacor,"1 Medline Pl, Mundelein, IL 60060",Illinois,,Potential,42.242929,-87.989378
Medline Industries Inc.,"1710 S Lakeside Dr, Waukegan, IL 60085",Illinois,,Potential,42.326541,-87.886311
"Medline Industries, LP","3 Lakes Dr, Northfield, IL 60093",Illinois,,Potential,42.09975,-87.780897
Medline Industries Inc,"1962 Ruffin Mill Rd, South Chesterfield, VA 23834",Virginia,,Potential,37.311855,-77.386353
"Medline Industries, LP","12001 General Milton Dr, Laredo, TX 78045",Texas,,Potential,27.620009,-99.502003
Medline Industries,"36445 Van Born Rd, Romulus, MI 48174",Michigan,,Potential,42.264537,-83.399266
Medline Hartland,"700 W N Shore Dr, Hartland, WI 53029",Wisconsin,,Potential,43.077571,-88.359954
Medline Industries Inc,"974 W Main St, Alamo, TN 38001",Tennessee,,Potential,35.784973,-89.134532
Medline D46 Warehouse,"18601 Christopher Way, Lathrop, CA 95330",California,,Potential,37.797957,-121.287225
Medline Industries DC,"1500 Medline Pl, McDonough, GA 30253",Georgia,,Potential,33.391093,-84.15072
Medline Industries Distribution Center,"2200 Cornerstone Pkwy, Grayslake, IL 60030",Illinois,,Potential,42.308136,-88.047274
Medline,"92 SE 223rd Ave, Gresham, OR 97030",Oregon,,Potential,45.522894,-122.430028
Cardinal Health,"6335 Seeds Rd, Grove City, Ohio",Ohio,,Potential,39.835414,-83.09336
Medline,"5349 U.S. Hwy 40, West Jefferson, OH 43162",Ohio,,Potential,39.941025,-83.334453
Cardinal Health,"15 Ingram Blvd, La Vergne, TN 37086",Tennessee,,Potential,35.998346,-86.592637
Cardinal Health,"501 Mason Road, La Vergne, TN 37086",Tennessee,,Potential,35.989066,-86.58032
Cardinal Health,"8401 East Bearing Road, Indianapolis, IN 46268",Indiana,,Potential,39.905718,-86.23536
Cardinal Health,"700 Vaughn Road, Dixon, CA 95620",California,,Potential,38.465927,-121.81319
Cardinal Health,"5995 Commerce Center Dr, Groveport, OH 43125",Ohio,,Potential,39.844033,-82.91353
Cardinal Health,"11 Centennial Drive, Peabody, MA 01960",Massachusetts,,Potential,42.52153,-70.957865
Cardinal Health,"6012 E Molloy Rd, Syracuse, NY 13211",New York,,Potential,43.098288,-76.105749
Cardinal Health,"2310 Center Square Rd, Logan Township, NJ 08085",New Jersey,,Potential,39.772827,-75.376396
Medline Industries Inc,"264 S 5750 W, Salt Lake City, UT 84104",Utah,,Potential,40.764097,-112.029307
Owens and Minor,"8000 Bluewater Rd NW Ste. H, Albuquerque, NM 87121",New Mexico,,Potential,35.081941,-106.722095
Owens and Minor,"7437 Industrial Blvd, Allentown, PA 18106",Pennsylvania,,Potential,40.571988,-75.610983
Owens and Minor,"70 Bennett St, Bangor, ME 04401",Maine,,Potential,44.788435,-68.834365
Owens and Minor,"Lindenmeyr Munroe, 20 Freedom Way, Franklin, MA 02038",Massachusetts,,Potential,42.051738,-71.395187
Owens and Minor,"2820 Global Dr, Groveport, OH 43125",Ohio,,Potential,39.849841,-82.939735
Owens and Minor,"1805 N Loop 499 #130, Harlingen, TX 78550",Texas,,Potential,26.210142,-97.662307
Owens and Minor,"1800 Southern Rd, Kansas City, MO 64120",Missouri,,Potential,39.139874,-94.518307
Owens and Minor,"228 Access Dr, Southaven, MS 38671",Mississippi,,Potential,34.956633,-89.99624
Owens and Minor,"301 Bordentown Hedding Rd, Bordentown, NJ 08505",New Jersey,,Potential,40.123558,-74.72048
Owens and Minor,"1220 Forest Pkwy, West Deptford, NJ 08066",New Jersey,,Potential,39.826938,-75.218612
Owens and Minor,"8831 E Pine St #100Tulsa, Tulsa, OK 74115",Oklahoma,,Potential,36.178122,-95.878878
Owens and Minor,"326 US 49, Richland, MS 39218",Mississippi,,Potential,32.261629,-90.159047
Cardinal Health,"6275 Lance Drive, Riverside, CA 92507",California,,Potential,33.936215,-117.305533
Cardinal Health,"13651 Dublin Ct, Stafford, TX 77477",Texas,,Potential,29.626504,-95.573554
Cardinal Health,"2310A Center Square Rd, Swedesboro, NJ 08085",New Jersey,,Potential,39.7367,-75.319844
Cardinal Health,"110 Exchange Logistics Park Drive, Piedmont, SC 29673",South Carolina,,Potential,34.713662,-82.493089
Cardinal Health,"3950 Valley East Industrial, Birmingham, AL 35217",Alabama,,Potential,33.633174,-86.733857
